# step h OmegaM OmegaL chi2
281 0.70579083 0.29475867 0.79669139 564.08809813
282 0.69859500 0.29530872 0.79059476 566.86922674
283 0.70056008 0.33435731 0.76583801 563.97293284
284 0.69715093 0.33228027 0.75317332 564.06780173
285 0.69355956 0.35698608 0.72997946 568.53496143
286 0.69782700 0.35346572 0.74389909 566.82843047
287 0.69507173 0.35070676 0.72002376 567.78061495
288 0.69644769 0.33558133 0.75064543 564.61436256
289 0.69583336 0.34794789 0.76853452 565.64131203
290 0.69642775 0.35397964 0.76163124 565.66610740
291 0.69833456 0.35483461 0.74333697 567.45002125
292 0.70080411 0.35256957 0.74778213 569.24327438
293 0.69259948 0.36794162 0.74690379 570.04648742
294 0.69302416 0.33452093 0.74493045 568.47345359
295 0.69464517 0.31844209 0.72987348 565.54173116
296 0.70284495 0.29102422 0.76185730 562.67015029
297 0.70177224 0.27819764 0.75037581 562.50930676
298 0.70255961 0.28951334 0.75589252 562.60933965
299 0.69980043 0.27258446 0.76241718 564.94092541
300 0.70759367 0.26274177 0.77590822 566.40952793
301 0.70347516 0.28008274 0.76131106 562.94883351
302 0.70316417 0.27965545 0.77410996 563.16018682
303 0.70090350 0.30232296 0.78883815 563.19504049
304 0.70560099 0.30259236 0.81623016 563.90012206
305 0.70268956 0.31764309 0.82148585 563.29877400
306 0.70604474 0.30717192 0.80497356 564.36606321
307 0.69851061 0.32646777 0.80301123 564.80061262
308 0.70278904 0.31402600 0.80018986 562.70119990
309 0.70401319 0.30181922 0.79991282 563.08395358
310 0.70620719 0.28419242 0.79744023 564.54418286
311 0.70071077 0.30803130 0.80037828 563.72356147
312 0.70455252 0.33264156 0.84535695 563.51518644
313 0.70107516 0.32845279 0.84777203 565.97971204
314 0.70140897 0.33990103 0.83315231 563.51964283
315 0.70703930 0.35227529 0.87263807 565.12170381
316 0.70739182 0.37588001 0.90094502 565.98624934
317 0.70651305 0.37564391 0.93234720 565.94895665
318 0.70817265 0.36874614 0.95061411 567.51868598
319 0.71088113 0.38428336 0.94677228 568.99023620
320 0.70821203 0.38394738 0.94906101 566.72053224
321 0.70537914 0.38595759 0.90772451 565.12491099
322 0.70596540 0.36457855 0.92149671 565.92084382
323 0.70358783 0.37256480 0.91853773 566.51786275
324 0.70700611 0.37251476 0.91229025 565.39182424
325 0.70530454 0.34644968 0.90154329 565.98809576
326 0.70911576 0.31984380 0.89922474 567.97189548
327 0.71124500 0.33706168 0.90582834 568.78530396
328 0.70855200 0.31775483 0.89761844 568.03232170
329 0.70668283 0.35479634 0.90698438 565.41138488
330 0.70558827 0.36203050 0.91425789 565.65616237
331 0.70858553 0.36617367 0.91184424 566.31959541
332 0.70091909 0.37973962 0.91682653 569.06062624
333 0.70062891 0.39565070 0.88619545 565.87049075
334 0.69996912 0.38377688 0.86456722 565.38178721
335 0.70201549 0.35730749 0.85810054 563.94039129
336 0.70312440 0.35850515 0.84922908 563.64418361
337 0.70734820 0.36534279 0.83626656 570.61308422
338 0.69914624 0.33439731 0.85809936 569.91917334
339 0.69796336 0.32955776 0.83435950 569.23017289
340 0.70520574 0.33803949 0.83273466 564.05451248
341 0.69894358 0.33512745 0.82122695 565.20703127
342 0.70862449 0.31376661 0.82739683 566.96915537
343 0.70554244 0.33305134 0.84890414 563.86073417
344 0.69933900 0.36033398 0.83876416 564.81694890
345 0.70064975 0.38226969 0.84437319 564.95262082
346 0.70110097 0.37758143 0.85867349 564.51344436
347 0.70327608 0.37637184 0.82620697 566.98758923
348 0.70345271 0.36096583 0.81600430 565.79491204
349 0.70398387 0.36614544 0.79680911 570.02266079
350 0.70020700 0.35508912 0.80368373 563.90795435
351 0.69773259 0.32384191 0.76609661 563.62652974
352 0.69994255 0.32709684 0.78910755 562.91268758
353 0.69720065 0.33937846 0.75719522 564.39008044
354 0.70110476 0.35922412 0.76713673 568.25182336
355 0.69542874 0.32792642 0.76458371 566.03022143
356 0.70232305 0.28076755 0.78560152 564.01972366
357 0.70158493 0.31286334 0.77830389 562.49311503
358 0.70251501 0.29951326 0.79049837 562.81925124
359 0.70665364 0.29907062 0.82273148 564.67538032
360 0.70722272 0.31085526 0.79161007 567.26997748
361 0.70387914 0.27114087 0.75677983 563.28284130
362 0.70099660 0.26597256 0.74942386 563.48593411
363 0.70381291 0.29008030 0.74130370 564.41850139
364 0.69756103 0.28201069 0.72223901 563.13891432
365 0.70027213 0.28687608 0.74455631 562.31808784
366 0.69882464 0.29085594 0.74088658 562.67412246
367 0.70069743 0.29426931 0.74016506 562.37396413
368 0.70221148 0.29449083 0.73676174 563.38969376
369 0.69572604 0.31490963 0.72322779 564.32883115
370 0.70040842 0.31026018 0.73983876 563.19632887
371 0.70308158 0.29631390 0.73416005 564.73304434
372 0.69607397 0.28369866 0.72924906 565.23123020
373 0.69477971 0.29337915 0.71886333 565.57736855
374 0.69588553 0.32713149 0.73592268 564.65389761
375 0.69475290 0.31409179 0.75208179 566.93335462
376 0.69371529 0.33640378 0.76397074 568.51255421
377 0.69681789 0.36613118 0.76212078 566.91898486
378 0.70276940 0.34674468 0.78892588 565.56035423
379 0.70286236 0.32923046 0.77174091 564.91289936
380 0.69617811 0.36070084 0.77550851 566.02453953
381 0.70156773 0.34047675 0.80301766 563.17241407
382 0.70526021 0.32358837 0.81748218 563.88180183
383 0.69833074 0.34370283 0.81653165 565.05025267
384 0.69856293 0.36518596 0.82578967 564.93686542
385 0.69893099 0.36768455 0.83459781 564.95287889
386 0.69949772 0.38421933 0.82712321 565.67664779
387 0.69921657 0.36648219 0.84262318 565.03878607
388 0.69870597 0.37290089 0.86265423 566.80869978
389 0.70480321 0.35493968 0.89528687 564.98555987
390 0.70821777 0.35535266 0.89757049 565.83364091
391 0.70464143 0.34597178 0.88482859 564.87694875
392 0.70209444 0.35517773 0.87472494 565.05190723
393 0.70220499 0.35620683 0.87463204 564.88172606
394 0.70607041 0.34836982 0.89464023 565.04702707
395 0.70773081 0.35260531 0.90362468 565.59178208
396 0.70784458 0.35336983 0.89843750 565.54257583
397 0.71271479 0.35064514 0.90668820 571.82744477
398 0.70594738 0.34318174 0.93066322 569.84946554
399 0.70622004 0.34830291 0.92459240 567.82841461
400 0.70704339 0.35972326 0.91094663 565.45014261
401 0.70422252 0.36287848 0.88379326 564.22980972
402 0.70633599 0.36773846 0.88781371 564.97212387
403 0.70401937 0.35367252 0.88103805 564.40621330
404 0.70619732 0.35166279 0.87959946 564.47381375
405 0.70935638 0.34311992 0.87342772 567.35246488
406 0.70812912 0.35161040 0.87111593 566.37009073
407 0.70612381 0.36285559 0.88469953 564.67244704
408 0.70480067 0.37230231 0.90000281 564.65943788
409 0.69999336 0.38114038 0.87551785 565.91122599
410 0.70483452 0.35081918 0.84863041 563.99626468
411 0.70065946 0.35279453 0.83250487 563.69367727
412 0.70043273 0.35203502 0.85158990 564.92337220
413 0.70566038 0.33461129 0.82442141 564.65240733
414 0.70079373 0.33278878 0.82633703 563.84006115
415 0.70058316 0.34831092 0.78510409 564.25126089
416 0.70088681 0.35579407 0.82177736 563.60100332
417 0.70471156 0.34148066 0.84283401 563.63250539
418 0.70464108 0.31414160 0.83259630 563.70302639
419 0.70662044 0.32803088 0.82309741 565.36710226
420 0.70046456 0.34043000 0.82104635 563.49973724
421 0.70004441 0.36925122 0.80934416 564.95620989
422 0.70132432 0.34719267 0.81563148 563.25636441
423 0.69928998 0.33383889 0.79996832 563.52873393
424 0.69870630 0.35826104 0.79162996 564.54806097
425 0.69911752 0.35738259 0.76610986 566.08805948
426 0.69687299 0.34043666 0.77883690 564.75316538
427 0.70033999 0.36670456 0.79958952 565.36412983
428 0.70212356 0.36860930 0.79369729 567.94656811
429 0.69940587 0.36004128 0.83856058 564.75013799
430 0.70174129 0.35961065 0.86551596 564.42031623
431 0.70794357 0.32543773 0.86772873 565.49947513
432 0.70011022 0.32286388 0.82798624 565.56899551
433 0.70630196 0.32343314 0.82425154 564.61339369
434 0.70240959 0.32809331 0.82505074 563.11599284
435 0.70561811 0.33117173 0.84113976 563.88972032
436 0.70279635 0.34679630 0.83685110 563.25661615
